,Geographic Cluster Name,Category Name,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,other,No.,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,Capacity Per Capita
408,Bronzeville/South Lakefront,Reading & Writing.,online,6,99.0,52.5,41.80490875,16.5,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.005428226779252111
409,Bronzeville/South Lakefront,Reading & Writing.,online,6,99.0,52.5,41.80490875,16.5,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.016728624535315983
410,Bronzeville/South Lakefront,Reading & Writing.,online,6,99.0,52.5,41.80490875,16.5,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.016728624535315983
411,Bronzeville/South Lakefront,Reading & Writing.,online,6,99.0,52.5,41.80490875,16.5,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.016728624535315983
412,Bronzeville/South Lakefront,Reading & Writing.,online,6,99.0,52.5,41.80490875,16.5,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.004514569747822518
413,Bronzeville/South Lakefront,Reading & Writing.,online,6,99.0,52.5,41.80490875,16.5,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.004514569747822518
414,Bronzeville/South Lakefront,Reading & Writing.,online,6,99.0,52.5,41.80490875,16.5,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.004514569747822518
415,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,1.0943634170413423
416,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,1.0943634170413423
417,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,1.0943634170413423
418,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,3.372592091922947
419,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,3.372592091922947
420,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,3.372592091922947
421,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.9101646221897943
422,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.9101646221897943
423,Bronzeville/South Lakefront,Science ,face_to_face,234,19959.0,21.064102564102566,41.81260852423084,85.2948717948718,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.9101646221897943
424,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0029608509705011513
425,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0029608509705011513
426,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0029608509705011513
427,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.009124704291990537
428,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.009124704291990537
429,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.009124704291990537
430,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0024624925897213734
431,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0024624925897213734
432,Bronzeville/South Lakefront,Science ,online,3,54.0,99.0,,18.0,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0024624925897213734
433,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.11267682859962715
434,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.11267682859962715
435,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.11267682859962715
436,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.3472456911118621
437,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.3472456911118621
438,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.3472456911118621
439,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0937115235532856
440,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0937115235532856
441,Bronzeville/South Lakefront,Social Studies ,face_to_face,54,2055.0,85.33333333333333,41.82872708944445,38.05555555555556,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0937115235532856
442,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,5.701776510582301
443,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,5.701776510582301
444,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,5.701776510582301
445,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,17.571645826292666
446,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,17.571645826292666
447,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,17.571645826292666
448,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,4.742076702083998
449,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,4.742076702083998
450,Bronzeville/South Lakefront,Sports + Wellness.,face_to_face,5439,103989.0,42.174296745725314,41.81564574486092,19.119139547710976,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,4.742076702083998
451,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.41090031801732646
452,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.41090031801732646
453,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.41090031801732646
454,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,1.266306184521798
455,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,1.266306184521798
456,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,1.266306184521798
457,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.34173924939577727
458,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.34173924939577727
459,Bronzeville/South Lakefront,Sports + Wellness.,online,432,7494.0,48.00694444444444,41.81236561166682,17.34722222222222,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.34173924939577727
460,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0
461,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0
462,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0
463,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0
464,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0
465,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0
466,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0
467,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0
468,Bronzeville/South Lakefront,Transportation,face_to_face,12,0.0,21.0,41.7932977675,0.0,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0
469,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.09079942976203531
470,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.09079942976203531
471,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.09079942976203531
472,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.27982426495437646
473,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.27982426495437646
474,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.27982426495437646
475,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.07551643941812212
476,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.07551643941812212
477,Bronzeville/South Lakefront,Work + Career ,face_to_face,69,1656.0,50.78260869565217,41.8161634382609,24.0,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.07551643941812212
478,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,18238,32805,0.025,0.726,0.099,0.127,0.022,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0
479,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,18238,32805,0.025,0.726,0.099,0.127,0.022,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0
480,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,18238,32805,0.025,0.726,0.099,0.127,0.022,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0
481,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,5918,20800,0.015,0.941,0.021,0.006,0.018,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0
482,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,5918,20800,0.015,0.941,0.021,0.006,0.018,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0
483,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,5918,20800,0.015,0.941,0.021,0.006,0.018,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0
484,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,21929,28040,0.018,0.941,0.018,0.003,0.02,35,3.10%,31.90%,13.80%,11.10%,32.30%,"$28,547 ",48.3,0.0
485,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,21929,28040,0.018,0.941,0.018,0.003,0.02,36,1.00%,30.00%,19.90%,8.10%,41.70%,"$28,102 ",51.7,0.0
486,Bronzeville/South Lakefront,Work + Career ,online,15,0.0,24.0,41.808937074000006,0.0,21929,28040,0.018,0.941,0.018,0.003,0.02,38,1.60%,26.90%,13.70%,12.10%,36.10%,"$29,808 ",46.4,0.0
487,CALUMET HEIGHTS,Academic Support,face_to_face,4,55.0,18.0,41.732948305,13.75,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.003982044598899508
488,CALUMET HEIGHTS,Building & Fixing Things,face_to_face,1,0.0,19.0,41.73276138,0.0,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.0
489,CALUMET HEIGHTS,Customer/Human Service,face_to_face,1,0.0,65.0,41.72589874,0.0,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.0
490,CALUMET HEIGHTS,Healthcare,face_to_face,6,0.0,69.33333333333333,41.72610219166666,0.0,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.0
491,CALUMET HEIGHTS,Helping Your Community.,face_to_face,5,30.0,37.0,41.727507779999996,6.0,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.002172024326672459
492,CALUMET HEIGHTS,Music & Art.,face_to_face,20,324.0,50.05,41.73909549849999,16.2,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.023457862728062554
493,CALUMET HEIGHTS,Sports + Wellness.,face_to_face,42,988.0,35.904761904761905,41.73574938238093,23.523809523809526,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.07153200115841298
494,CALUMET HEIGHTS,Work + Career ,face_to_face,2,0.0,21.5,41.729330059999995,0.0,13812,55669,0.041,0.934,0.009,0.002,0.014,48,0.80%,14.20%,7.10%,5.70%,42.50%,"$35,884 ",36.5,0.0
495,CHATHAM,Academic Support,face_to_face,9,199.0,13.555555555555555,41.73962105555555,22.11111111111111,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.006413561944050535
496,CHATHAM,Building & Fixing Things,face_to_face,8,13582.0,89.0,41.749217034999994,1697.75,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.4377336599200722
497,CHATHAM,Computers.,face_to_face,3,128.0,43.333333333333336,41.784688313333334,42.666666666666664,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.00412530617506768
498,CHATHAM,Digital Media.,face_to_face,2,30.0,58.5,41.73464203,15.0,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.0009668686347814876
499,CHATHAM,Healthcare,face_to_face,1,18.0,99.0,41.75090027,18.0,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.0005801211808688926
500,CHATHAM,Helping Your Community.,face_to_face,7,185.0,13.857142857142858,41.733409881428564,26.428571428571427,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.0059623565811525074
501,CHATHAM,Music & Art.,face_to_face,217,23631.0,36.46082949308756,41.746454775437684,108.89861751152074,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.7616024236173778
502,CHATHAM,Nature.,face_to_face,8,320.0,89.625,41.734773634999996,40.0,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.010313265437669202
503,CHATHAM,Performance.,face_to_face,3,300.0,99.0,41.73330052666667,100.0,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.009668686347814877
504,CHATHAM,Reading & Writing.,face_to_face,21,1204.0,47.0,41.75044486714285,57.333333333333336,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.03880366120923037
505,CHATHAM,Reading & Writing.,online,1,18.0,99.0,,18.0,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.0005801211808688926
506,CHATHAM,Science ,face_to_face,5,198.0,64.6,41.75090027,39.6,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.0063813329895578185
507,CHATHAM,Social Studies ,face_to_face,1,1813.0,99.0,41.75090027,1813.0,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.05843109449529457
508,CHATHAM,Sports + Wellness.,face_to_face,114,2215.0,38.228070175438596,41.73406681920357,19.42982456140351,31028,32057,0.01,0.972,0.004,0.001,0.013,44,1.70%,25.60%,16.70%,11.80%,37.70%,"$25,788 ",49.2,0.07138713420136651
509,CHICAGO LAWN,Academic Support,face_to_face,31,1367.0,93.0,41.781228831612914,44.096774193548384,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.02457395556194722
510,CHICAGO LAWN,Computers.,face_to_face,2,117.0,99.0,41.829133985,58.5,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.002103257352412454
511,CHICAGO LAWN,Digital Media.,face_to_face,1,10.0,15.0,41.76440048,10.0,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.00017976558567627814
512,CHICAGO LAWN,Food.,face_to_face,35,70.0,27.257142857142856,41.67976554142856,2.0,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.001258359099733947
513,CHICAGO LAWN,Healthcare,face_to_face,46,288.0,30.32608695652174,41.78200000695651,6.260869565217392,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.005177248867476811
514,CHICAGO LAWN,Helping Your Community.,face_to_face,2,30.0,59.0,41.77050018,15.0,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.0005392967570288343
515,CHICAGO LAWN,Helping Your Community.,online,2,30.0,99.0,41.77054596,15.0,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.0005392967570288343
516,CHICAGO LAWN,Music & Art.,face_to_face,156,33807.0,50.07051282051282,41.777943610769285,216.71153846153845,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.6077335154957935
517,CHICAGO LAWN,Music & Art.,online,8,85.0,99.0,41.77054596,10.625,55628,37779,0.452,0.493,0.043,0.003,0.009,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60.0,0.0015280074782483642
