,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
24,AUBURN GRESHAM,Non-STEM,Free,online,5,278.0,55.8,41.75737381,55.6,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2
25,AUBURN GRESHAM,Non-STEM,Not Free,face_to_face,268,4524.0,39.5634328358209,41.74239112992556,16.880597014925375,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2
26,AUBURN GRESHAM,Non-STEM,Not Free,online,32,340.0,41.75,41.741394039999996,10.625,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2
27,AUBURN GRESHAM,STEM,Free,face_to_face,68,4606.0,21.485294117647058,41.74052726500003,67.73529411764706,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2
28,AUBURN GRESHAM,STEM,Free,online,1,18.0,99.0,,18.0,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2
29,AUBURN GRESHAM,STEM,Not Free,face_to_face,20,119.0,97.05,41.741490743499995,5.95,48743.0,34767.0,0.009,0.978,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2
30,AUSTIN,Non-STEM,Free,face_to_face,1009,1096338.0,46.38751238850347,41.89269702341937,1086.5589692765113,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1
31,AUSTIN,Non-STEM,Free,online,24,2213.0,29.375,41.87928104549998,92.20833333333333,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1
32,AUSTIN,Non-STEM,Not Free,face_to_face,645,7012.0,47.669767441860465,41.892393878108344,10.871317829457364,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1
33,AUSTIN,Non-STEM,Not Free,online,103,1609.0,45.310679611650485,41.89022082796123,15.62135922330097,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1
