Community Area,No.,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,
McKinley Park,59,5.90%,14.30%,6.00%,23.20%,31.40%,"$26,934 ",46.8,
Bridgeport,60,3.20%,14.00%,6.80%,19.10%,32.80%,"$31,693 ",41.1,
New City,61,5.50%,28.70%,16.80%,30.60%,40.20%,"$18,040 ",67,
West Elsdon,62,5.90%,10.20%,9.70%,26.00%,40.00%,"$23,007 ",54,
Gage Park,63,8.00%,16.70%,16.20%,32.60%,38.60%,"$16,155 ",66.4,
Clearning,64,2.20%,9.00%,10.60%,12.20%,35.90%,"$27,582 ",39.4,
West Lawn,65,7.00%,14.40%,10.30%,28.20%,40.90%,"$21,706 ",59.2,
Chicago Lawn,66,4.30%,20.40%,17.00%,25.30%,39.90%,"$17,620 ",60,
West Englewood,67,2.50%,29.90%,24.50%,19.50%,43.00%,"$17,441 ",64.1,
Englewood,68,1.40%,39.70%,24.90%,23.70%,42.70%,"$15,034 ",68.2,
Greater Grand Crossing,69,1.80%,33.10%,19.80%,13.50%,40.40%,"$19,735 ",57.1,
Ashburn,70,4.00%,13.00%,10.50%,17.80%,38.00%,"$25,905 ",47.4,
Auburn Gresham,71,1.60%,24.20%,16.50%,15.00%,42.30%,"$20,665 ",53.2,
Beverly,72,0.60%,5.70%,5.90%,2.50%,40.40%,"$55,811 ",26.3,
Washington Heights,73,0.80%,20.00%,14.20%,11.40%,40.00%,"$24,294 ",45.9,
Mount Greenwood,74,2.10%,5.80%,4.40%,4.70%,38.30%,"$41,850 ",30.1,
Morgan Park,75,1.00%,11.60%,10.60%,6.30%,40.30%,"$34,946 ",37,
O'Hare,76,3.10%,10.40%,3.80%,8.30%,32.80%,"$35,715 ",32.7,
Edgewater,77,4.20%,15.10%,5.50%,9.20%,26.10%,"$42,486 ",32.6,
